更新时间: 2026-09-24 10:13:15（北京时间）

更新时间,#genre#
2026-09-24 10:13:15,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://171.8.138.218:8800/rtp/239.16.20.1:10010$河南电信11
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008$北京电信11
CCTV1,http://118.248.155.220:8889/udp/239.76.253.151:9000$湖南电信11
CCTV1,http://124.112.241.231:4022/rtp/238.1.78.166:7200$安徽电信11
CCTV1,http://116.2.169.166:4010/rtp/232.0.0.27:1234$辽宁联通11
CCTV1,http://60.4.29.46:8077/rtp/239.253.92.83:8012$河北联通11
CCTV2,http://171.8.138.218:8800/rtp/239.16.20.2:10020$河南电信11
CCTV2,http://115.171.216.32:4000/rtp/225.1.8.2:8084$北京电信11
CCTV2,http://118.248.155.220:8889/udp/239.76.253.152:9000$湖南电信11
CCTV2,http://124.112.241.231:4022/rtp/238.1.78.235:7752$安徽电信11
CCTV2,http://116.2.169.166:4010/rtp/232.0.0.135:1234$辽宁联通11
CCTV2,http://60.4.29.46:8077/rtp/239.253.92.190:6065$河北联通11
CCTV3,http://171.8.138.218:8800/rtp/239.16.20.3:10030$河南电信11
CCTV3,http://115.171.216.32:4000/rtp/225.1.8.88:8000$北京电信11
CCTV3,http://118.248.155.220:8889/udp/239.76.253.153:9000$湖南电信11
CCTV3,http://124.112.241.231:4022/rtp/238.1.78.170:7232$安徽电信11
CCTV3,http://116.2.169.166:4010/rtp/232.0.0.170:1234$辽宁联通11
CCTV3,http://60.4.29.46:8077/rtp/239.253.92.191:6057$河北联通11
CCTV4,http://171.8.138.218:8800/rtp/239.16.20.4:10040$河南电信11
CCTV4,http://115.171.216.32:4000/rtp/225.1.8.4:8092$北京电信11
CCTV4,http://118.248.155.220:8889/udp/239.76.253.154:9000$湖南电信11
CCTV4,http://124.112.241.231:4022/rtp/238.1.78.236:7760$安徽电信11
CCTV4,http://116.2.169.166:4010/rtp/232.0.0.201:1234$辽宁联通11
CCTV4,http://60.4.29.46:8077/rtp/239.253.92.251:6141$河北联通11
CCTV4欧洲,http://116.2.169.166:4010/rtp/232.0.0.53:1234$辽宁联通11
CCTV4欧洲,http://60.4.29.46:8077/rtp/239.253.93.192:6370$河北联通11
CCTV4欧洲,http://106.59.2.196:55555/rtp/239.200.201.180:4220$云南电信11
CCTV4欧洲,http://39.77.25.56:4002/rtp/239.253.254.186:8000$山东联通11
CCTV4欧洲,http://221.220.129.160:8012/rtp/239.3.1.213:4220$北京联通11
CCTV4欧洲,http://39.77.172.61:4002/rtp/239.253.254.186:8000$山东联通21
CCTV4美洲,http://116.2.169.166:4010/rtp/232.0.0.59:1234$辽宁联通11
CCTV4美洲,http://60.4.29.46:8077/rtp/239.253.93.193:6371$河北联通11
CCTV4美洲,http://106.59.2.196:55555/rtp/239.200.201.181:4220$云南电信11
CCTV4美洲,http://39.77.25.56:4002/rtp/239.253.254.187:8000$山东联通11
CCTV4美洲,http://221.220.129.160:8012/rtp/239.3.1.214:4220$北京联通11
CCTV4美洲,http://39.77.172.61:4002/rtp/239.253.254.187:8000$山东联通21
CCTV5,http://171.8.138.218:8800/rtp/239.16.20.53:10530$河南电信11
CCTV5,http://115.171.216.32:4000/rtp/225.1.8.89:8000$北京电信11
CCTV5,http://118.248.155.220:8889/udp/239.76.253.155:9000$湖南电信11
CCTV5,http://124.112.241.231:4022/rtp/238.1.78.171:7240$安徽电信11
CCTV5,http://116.2.169.166:4010/rtp/232.0.0.171:1234$辽宁联通11
CCTV5,http://60.4.29.46:8077/rtp/239.253.92.181:6046$河北联通11
CCTV5+,http://171.8.138.218:8800/rtp/239.16.20.5:10050$河南电信11
CCTV5+,http://115.171.216.32:4000/rtp/225.1.8.20:8004$北京电信11
CCTV5+,http://118.248.155.220:8889/udp/239.76.253.168:9000$湖南电信11
CCTV5+,http://124.112.241.231:4022/rtp/238.1.78.237:7768$安徽电信11
CCTV5+,http://60.4.29.46:8077/rtp/239.253.92.82:8013$河北联通11
CCTV5+,http://171.119.206.133:6000/rtp/226.0.2.168:9256$山西联通11
CCTV6,http://171.8.138.218:8800/rtp/239.16.20.6:10060$河南电信11
CCTV6,http://115.171.216.32:4000/rtp/225.1.8.84:8000$北京电信11
CCTV6,http://118.248.155.220:8889/udp/239.76.253.156:9000$湖南电信11
CCTV6,http://124.112.241.231:4022/rtp/238.1.78.172:7248$安徽电信11
CCTV6,http://116.2.169.166:4010/rtp/232.0.0.172:1234$辽宁联通11
CCTV6,http://60.4.29.46:8077/rtp/239.253.92.193:6058$河北联通11
CCTV7,http://171.8.138.218:8800/rtp/239.16.20.51:10510$河南电信11
CCTV7,http://115.171.216.32:4000/rtp/225.1.8.7:8104$北京电信11
CCTV7,http://118.248.155.220:8889/udp/239.76.253.157:9000$湖南电信11
CCTV7,http://124.112.241.231:4022/rtp/238.1.78.239:7784$安徽电信11
CCTV7,http://116.2.169.166:4010/rtp/232.0.0.136:1234$辽宁联通11
CCTV7,http://60.4.29.46:8077/rtp/239.253.92.194:6059$河北联通11
CCTV8,http://171.8.138.218:8800/rtp/239.16.20.8:10080$河南电信11
CCTV8,http://115.171.216.32:4000/rtp/225.1.8.85:8000$北京电信11
CCTV8,http://118.248.155.220:8889/udp/239.76.253.158:9000$湖南电信11
CCTV8,http://124.112.241.231:4022/rtp/238.1.78.173:7256$安徽电信11
CCTV8,http://116.2.169.166:4010/rtp/232.0.0.173:1234$辽宁联通11
CCTV8,http://60.4.29.46:8077/rtp/239.253.92.195:6060$河北联通11
CCTV9,http://171.8.138.218:8800/rtp/239.16.20.9:10090$河南电信11
CCTV9,http://115.171.216.32:4000/rtp/225.1.8.9:8112$北京电信11
CCTV9,http://118.248.155.220:8889/udp/239.76.253.159:9000$湖南电信11
CCTV9,http://124.112.241.231:4022/rtp/238.1.78.240:7792$安徽电信11
CCTV9,http://116.2.169.166:4010/rtp/232.0.0.137:1234$辽宁联通11
CCTV9,http://60.4.29.46:8077/rtp/239.253.92.107:6020$河北联通11
CCTV10,http://171.8.138.218:8800/rtp/239.16.20.10:10100$河南电信11
CCTV10,http://115.171.216.32:4000/rtp/225.1.8.10:8116$北京电信11
CCTV10,http://118.248.155.220:8889/udp/239.76.253.160:9000$湖南电信11
